x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-20.52500E-03,+260.99E-06,+238.08062E-03,-147.63E-06,+18.85717666E+00
-20.50000E-03,+263.00E-06,+158.68377E-03,-158.48E-06,+18.85717666E+00
-20.47500E-03,+251.34E-06,+50.14119E-03,-130.34E-06,+18.85717666E+00
-20.45000E-03,+252.15E-06,+25.51822E-03,-146.82E-06,+18.85717666E+00
-20.42500E-03,+258.18E-06,+12.95540E-03,-146.02E-06,+18.85717666E+00
-20.40000E-03,+256.57E-06,+392.59E-06,-135.97E-06,+18.85717666E+00
-20.37500E-03,+260.99E-06,+392.59E-06,-148.43E-06,+18.85717666E+00
-20.35000E-03,+250.94E-06,-12.17023E-03,-155.67E-06,+18.85717666E+00
-20.32500E-03,+260.19E-06,-12.17023E-03,-134.36E-06,+18.86873430E+00
-20.30000E-03,+259.38E-06,-24.73304E-03,-176.57E-06,+18.86873459E+00
-20.27500E-03,+253.35E-06,-24.73304E-03,-139.99E-06,+18.86019158E+00
-20.25000E-03,+256.97E-06,-37.29585E-03,-144.41E-06,+18.85717666E+00
-20.22500E-03,+245.31E-06,-42.82364E-03,-142.80E-06,+18.86421168E+00
-20.20000E-03,+243.71E-06,-119.70821E-03,-121.50E-06,+18.86069439E+00
-20.17500E-03,+239.69E-06,-202.12013E-03,-148.03E-06,+18.85868434E+00
-20.15000E-03,+230.44E-06,-287.04505E-03,-121.49E-06,+18.85767902E+00
-20.12500E-03,+240.89E-06,-399.10505E-03,-144.41E-06,+18.86973947E+00
-20.10000E-03,+240.89E-06,-513.67822E-03,-144.01E-06,+18.86973947E+00
-20.07500E-03,+240.49E-06,-621.21561E-03,-130.34E-06,+18.86973947E+00
-20.05000E-03,+237.68E-06,-748.85395E-03,-153.66E-06,+18.86973947E+00
-20.02500E-03,+240.89E-06,-830.76335E-03,-147.22E-06,+18.86973947E+00
-20.00000E-03,+240.89E-06,-954.38175E-03,-130.34E-06,+18.86973947E+00
-19.97500E-03,+232.45E-06,-1.05086401E+00,-165.72E-06,+18.86973947E+00
-19.95000E-03,+240.89E-06,-1.19357774E+00,-133.15E-06,+18.86973947E+00
-19.92500E-03,+235.67E-06,-1.29458292E+00,-146.02E-06,+18.86370948E+00
-19.90000E-03,+230.04E-06,-1.42372818E+00,-138.78E-06,+18.86973947E+00
-19.87500E-03,+236.87E-06,-1.55237172E+00,-134.36E-06,+18.86973947E+00
-19.85000E-03,+220.79E-06,-1.64684408E+00,-139.99E-06,+18.86923680E+00
-19.82500E-03,+211.95E-06,-1.79156770E+00,-117.47E-06,+18.86823209E+00
-19.80000E-03,+228.03E-06,-1.88955750E+00,-134.76E-06,+18.85717666E+00
-19.77500E-03,+226.42E-06,-2.02925583E+00,-144.81E-06,+18.86421199E+00
-19.75000E-03,+210.74E-06,-2.17548731E+00,-124.31E-06,+18.86973947E+00
-19.72500E-03,+218.38E-06,-2.28553773E+00,-142.80E-06,+18.85717666E+00
-19.70000E-03,+219.18E-06,-2.42523574E+00,-148.03E-06,+18.86973947E+00
-19.67500E-03,+211.55E-06,-2.55940692E+00,-121.09E-06,+18.86973947E+00
-19.65000E-03,+210.74E-06,-2.64433138E+00,-150.44E-06,+18.86973947E+00
-19.62500E-03,+210.74E-06,-2.80362787E+00,-152.45E-06,+18.86973947E+00
-19.60000E-03,+216.37E-06,-2.94885433E+00,-149.23E-06,+18.86270446E+00
-19.57500E-03,+207.93E-06,-3.06644228E+00,-159.28E-06,+18.85717666E+00
-19.55000E-03,+219.59E-06,-3.21870325E+00,-116.27E-06,+18.85717666E+00
-19.52500E-03,+201.09E-06,-3.37649271E+00,-169.33E-06,+18.85717666E+00
-19.50000E-03,+210.74E-06,-3.50714581E+00,-138.38E-06,+18.85968905E+00
-19.47500E-03,+207.12E-06,-3.63830108E+00,-162.50E-06,+18.86169910E+00
-19.45000E-03,+200.69E-06,-3.80563794E+00,-151.24E-06,+18.86320698E+00
-19.42500E-03,+193.86E-06,-3.97297497E+00,-129.94E-06,+18.86571920E+00
-19.40000E-03,+209.13E-06,-4.10714617E+00,-160.49E-06,+18.86772925E+00
-19.37500E-03,+210.74E-06,-4.28352809E+00,-160.49E-06,+18.86973947E+00
-19.35000E-03,+215.97E-06,-4.45538669E+00,-148.83E-06,+18.86973947E+00
-19.32500E-03,+190.64E-06,-4.63578888E+00,-164.11E-06,+18.86973947E+00
-19.30000E-03,+190.24E-06,-4.82423092E+00,-145.21E-06,+18.86973947E+00
-19.27500E-03,+210.74E-06,-5.00061301E+00,-147.63E-06,+18.86973947E+00
-19.25000E-03,+182.60E-06,-5.17297500E+00,-156.47E-06,+18.85968940E+00
-19.22500E-03,+191.04E-06,-5.35337701E+00,-131.95E-06,+18.86973947E+00
-19.20000E-03,+190.64E-06,-5.49609058E+00,-166.92E-06,+18.86973947E+00
-19.17500E-03,+187.83E-06,-5.65840179E+00,-144.41E-06,+18.86973947E+00
-19.15000E-03,+185.01E-06,-5.83026109E+00,-147.22E-06,+18.85717666E+00
-19.12500E-03,+196.67E-06,-5.99960818E+00,-178.58E-06,+18.86471416E+00
-19.10000E-03,+195.87E-06,-6.12975894E+00,-139.99E-06,+18.86019191E+00
-19.07500E-03,+181.39E-06,-6.25890449E+00,-169.74E-06,+18.86973947E+00
-19.05000E-03,+182.20E-06,-6.43076342E+00,-153.66E-06,+18.85818150E+00
-19.02500E-03,+190.64E-06,-6.58302529E+00,-140.39E-06,+18.86973947E+00
-19.00000E-03,+186.62E-06,-6.74583955E+00,-174.56E-06,+18.86220160E+00
-18.97500E-03,+186.22E-06,-6.85739678E+00,-174.96E-06,+18.85717666E+00
-18.95000E-03,+177.78E-06,-7.01669327E+00,-168.93E-06,+18.86069443E+00
-18.92500E-03,+171.75E-06,-7.16493466E+00,-185.82E-06,+18.86973947E+00
-18.90000E-03,+180.59E-06,-7.26041168E+00,-151.24E-06,+18.86923714E+00
-18.87500E-03,+180.59E-06,-7.41920584E+00,-200.69E-06,+18.86973947E+00
-18.85000E-03,+160.49E-06,-7.54433185E+00,-154.86E-06,+18.86973947E+00
-18.82500E-03,+165.72E-06,-7.66242192E+00,-169.74E-06,+18.86973947E+00
-18.80000E-03,+160.49E-06,-7.82171841E+00,-177.78E-06,+18.86973947E+00
-18.77500E-03,+160.49E-06,-7.97247256E+00,-155.26E-06,+18.86973947E+00
-18.75000E-03,+160.49E-06,-8.07749769E+00,-180.59E-06,+18.86973947E+00
-18.72500E-03,+162.10E-06,-8.23679379E+00,-138.38E-06,+18.86973947E+00
-18.70000E-03,+173.76E-06,-8.36292484E+00,-130.34E-06,+18.86119656E+00
-18.67500E-03,+155.26E-06,-8.50563841E+00,-155.67E-06,+18.86973947E+00
-18.65000E-03,+156.87E-06,-8.64734637E+00,-143.20E-06,+18.86521666E+00
-18.62500E-03,+148.43E-06,-8.79106555E+00,-158.48E-06,+18.86973947E+00
-18.60000E-03,+150.44E-06,-8.90915621E+00,-159.69E-06,+18.86973947E+00
-18.57500E-03,+139.18E-06,-9.05588909E+00,-159.28E-06,+18.86973947E+00
-18.55000E-03,+143.20E-06,-9.19408064E+00,-162.10E-06,+18.86973947E+00
-18.52500E-03,+134.76E-06,-9.32423140E+00,-148.03E-06,+18.86973947E+00
-18.50000E-03,+136.37E-06,-9.45186899E+00,-142.40E-06,+18.86220198E+00
-18.47500E-03,+132.75E-06,-9.58151764E+00,-176.17E-06,+18.86973947E+00
-18.45000E-03,+140.39E-06,-9.67699523E+00,-131.95E-06,+18.86973947E+00
-18.42500E-03,+148.83E-06,-9.83428126E+00,-167.32E-06,+18.86973947E+00
-18.40000E-03,+142.80E-06,-9.91518599E+00,-167.73E-06,+18.86973947E+00
-18.37500E-03,+138.38E-06,-10.03980890E+00,-126.32E-06,+18.86973947E+00
-18.35000E-03,+129.13E-06,-10.11116569E+00,-156.07E-06,+18.86973947E+00
-18.32500E-03,+143.20E-06,-10.22925594E+00,-154.86E-06,+18.86973947E+00
-18.30000E-03,+140.39E-06,-10.27749715E+00,-144.01E-06,+18.86973947E+00
-18.27500E-03,+139.99E-06,-10.37498500E+00,-170.14E-06,+18.86973947E+00
-18.25000E-03,+138.38E-06,-10.46191926E+00,-150.44E-06,+18.86973947E+00
-18.22500E-03,+137.58E-06,-10.58453295E+00,-173.35E-06,+18.86973947E+00
-18.20000E-03,+145.21E-06,-10.67749736E+00,-166.12E-06,+18.86973947E+00
-18.17500E-03,+123.51E-06,-10.83679385E+00,-169.74E-06,+18.86571916E+00
-18.15000E-03,+148.83E-06,-10.97699549E+00,-174.16E-06,+18.85918692E+00
-18.12500E-03,+140.39E-06,-11.10513599E+00,-160.49E-06,+18.86973926E+00
-18.10000E-03,+130.34E-06,-11.27699486E+00,-177.37E-06,+18.85918649E+00
-18.07500E-03,+150.44E-06,-11.46141697E+00,-180.19E-06,+18.86973947E+00
-18.05000E-03,+150.44E-06,-11.62724634E+00,-170.94E-06,+18.85717666E+00
-18.02500E-03,+150.44E-06,-11.80161842E+00,-187.02E-06,+18.85717666E+00
-18.00000E-03,+140.39E-06,-11.95940758E+00,-168.53E-06,+18.85717666E+00
-17.97500E-03,+159.28E-06,-12.11267392E+00,-171.75E-06,+18.85767938E+00
-17.95000E-03,+150.44E-06,-12.27196953E+00,-191.85E-06,+18.86823215E+00
-17.92500E-03,+140.39E-06,-12.44232151E+00,-183.40E-06,+18.86622210E+00
-17.90000E-03,+140.39E-06,-12.57247293E+00,-181.80E-06,+18.86421205E+00
-17.87500E-03,+140.39E-06,-12.72573926E+00,-168.53E-06,+18.86973947E+00
